kind,leg,kwarg,dtype,test,usd_irs,usd_irs_lt_2y,gbp_irs,eur_irs,sek_irs,nok_irs,chf_irs,cad_irs,cad_irs_le_1y,jpy_irs,aud_irs6,aud_irs3,aud_irs,eur_irs6,eur_irs3,eur_irs1,sek_irs3,nok_irs3,nok_irs6,eurusd_xcs,gbpusd_xcs,eurgbp_xcs,gbpeur_xcs,jpyusd_xcs,eur_zcis,gbp_zcis,usd_zcis,gbp_zcs,sek_iirs,eur_sbs36,nok_sbs36,us_gb,us_gb_tsy,uk_gb,de_gb,fr_gb,nl_gb,it_gb,se_gb,no_gb,ca_gb,us_gbb,se_gbb,gbp_gbi,sek_fra3,eur_fra3,eur_fra6,eur_fra1,nok_fra3,nok_fra6,usd_frn5,usd_stir,usd_stir1,eur_stir,eur_stir1,eur_stir3,gbp_stir
meta,meta,currency,str,TES,usd,usd,gbp,eur,sek,nok,chf,cad,cad,jpy,aud,aud,aud,eur,eur,eur,sek,nok,nok,eur/usd,gbp/usd,eur/gbp,gbp/eur,jpy/usd,eur,gbp,usd,gbp,sek_iirs,eur,nok,usd,usd,gbp,eur,eur,eur,eur,sek,nok,cad,usd,sek,gbp,sek,eur,eur,eur,nok,nok,usd,usd,usd,eur,eur,eur,gbp
float,leg1,fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float,leg1,fixing_method,str,,,,,,,,,,,,,,,,,,,,,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,,,,,,ibor,ibor,,,,,,,,,,,,,,,,,,,,rfr_observation_shift,,,,,,
float,leg1,method_param,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,5,,,,,,
fixed,leg2,fixed_rate,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float,leg2,float_spread,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float,leg2,spread_compound_method,str,,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,,,,none_simple,none_simple,none_simple,none_simple,,,,,,,,,,,,,,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple,,none_simple,none_simple,none_simple,none_simple,none_simple,none_simple
float,leg2,fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float,leg2,fixing_method,str,,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,ibor,ibor,rfr_payment_delay,ibor,ibor,ibor,ibor,ibor,ibor,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,rfr_payment_delay,,,,rfr_payment_delay,ibor,ibor,ibor,,,,,,,,,,,,,,ibor,ibor,ibor,ibor,ibor,ibor,,rfr_payment_delay,rfr_payment_delay_avg,rfr_payment_delay,rfr_payment_delay_avg,rfr_payment_delay,rfr_payment_delay
float,leg2,method_param,int,,,,,,,,,,,,2,2,,2,2,2,2,2,2,,,,,,,,,,2,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,
exchange,leg1,initial_exchange,bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
